withinblocktrial,block,block_repetition,rt,resp,acc,cresp,conf_press,cj,rtconf,coherence,metacognition,slow_trial,manipulation,sub_id,age,gender,handedness,X,batch,check1,check2,check3,check4
0,4,1,1.5008492,['n'],1,right,['e'],0,0.3443964,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
1,4,1,1.0338392,['n'],1,right,['e'],0,0.2126469,0.4,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
2,4,1,0.8011867,['n'],1,right,['e'],0,0.1912183,0.4,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
3,4,1,0.9176621,['n'],0,left,['e'],0,0.1963076,0.1,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
4,4,1,0.9331662,['n'],0,left,['e'],0,0.2340605,0.2,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
5,4,1,0.7514398,['n'],0,left,['u'],1,0.3563703,0.4,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
6,4,1,1.4014196,['c'],1,left,['e'],0,0.2090229,0.4,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
7,4,1,1.0012164,['c'],1,left,['u'],1,0.2593655,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
8,4,1,1.3998832,['n'],1,right,['e'],0,0.180399,0.1,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
9,4,1,0.8329786,['c'],1,left,['u'],1,0.5584411,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
10,4,1,0.8175059,['n'],1,right,['e'],0,0.3787215,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
11,4,1,1.2682174,['n'],1,right,['e'],0,0.4264682,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
12,4,1,1.1847592,['c'],0,right,['e'],0,0.3489273,0.1,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
13,4,1,1.2501133,['c'],0,right,['e'],0,0.1923749,0.2,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
14,4,1,1.0176663,['c'],1,left,['u'],1,0.6258823,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
15,4,1,1.2498387,['c'],1,left,['u'],1,0.5864175,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
16,4,1,1.1512463,['n'],0,left,['e'],0,0.3269104,0.2,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
17,4,1,0.883375,['n'],1,right,['u'],1,0.6663036,0.1,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
18,4,1,0.6515426,['n'],1,right,['u'],1,0.1830182,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
19,4,1,0.7510322,['n'],1,right,['u'],1,0.1962955,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
20,4,1,0.9508998,['c'],1,left,['u'],1,0.3452087,0.2,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
21,4,1,0.7347433,['c'],1,left,['u'],1,0.1441518,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
22,4,1,0.8834973,['c'],0,right,['u'],1,0.1542033,0.1,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
23,4,1,0.8849422,['c'],0,right,['u'],1,0.1788376,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
24,4,1,1.3158947,['c'],1,left,['e'],0,0.5862429,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
25,4,1,1.1162032,['c'],1,left,['e'],0,0.152545,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
26,4,1,0.9510485,['c'],1,left,['e'],0,0.6553084,0.4,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
27,4,1,0.73342,['n'],1,right,['e'],0,0.1854329,0.2,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
28,4,1,1.118204,['c'],0,right,['e'],0,0.3759226,0.1,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
29,4,1,0.7510717,['c'],1,left,['e'],0,0.1895352,0.1,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
30,4,1,1.050654,['n'],1,right,['e'],0,0.1585844,0.1,0,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
31,4,1,1.0169846,['n'],0,left,['e'],0,0.146652,0.4,1,0,FastFast,1,17,Woman,Right,NA,5,TRUE,TRUE,TRUE,TRUE
