withinblocktrial,block,block_repetition,rt,resp,acc,cresp,conf_press,cj,rtconf,coherence,slow_trial,manipulation,sub_id,age,gender,handedness,X,batch,check1,check2,check3,check4
0,4,1,1.2001415,['n'],1,right,['0'],6,0.617424,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
1,4,1,1.1660117,['c'],0,right,['9'],5,0.5841204,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
2,4,1,1.1667766,['c'],1,left,['0'],6,0.2837793,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
3,4,1,1.5840341,['n'],0,left,['0'],6,0.3336552,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
4,4,1,1.0001315,['n'],1,right,['0'],6,0.4338656,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
5,4,1,0.9509218,['c'],1,left,['0'],6,0.3004324,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
6,4,1,0.7508045,['c'],1,left,['0'],6,0.2500369,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
7,4,1,1.2163282,['n'],1,right,['9'],5,0.6338413,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
8,4,1,0.9502103,['n'],1,right,['0'],6,0.2839464,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
9,4,1,0.8670566,['c'],0,right,['0'],6,0.267735,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
10,4,1,0.6502349,['c'],1,left,['0'],6,0.2837299,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
11,4,1,1.249383,['n'],1,right,['9'],5,0.4003137,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
12,4,1,1.1669613,['n'],1,right,['0'],6,0.5335781,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
13,4,1,1.1836844,['c'],0,right,['9'],5,0.5671374,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
14,4,1,0.8671192,['c'],1,left,['0'],6,0.2170477,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
15,4,1,0.7177533,['c'],1,left,['0'],6,0.2006348,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
16,4,1,0.7166908,['c'],1,left,['0'],6,0.3170424,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
17,4,1,1.0835322,['n'],1,right,['0'],6,0.2669885,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
18,4,1,0.866558,['c'],1,left,['0'],6,0.2172928,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
19,4,1,1.0671583,['n'],1,right,['0'],6,0.3170891,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
20,4,1,0.9669652,['c'],1,left,['0'],6,0.1837837,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
21,4,1,1.5672445,['n'],1,right,['1'],1,0.8168927,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
22,4,1,1.0000882,['c'],0,right,['0'],6,0.2670874,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
23,4,1,0.7672134,['c'],1,left,['0'],6,0.2503844,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
24,4,1,0.4330969,['n'],1,right,['0'],6,0.233918,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
25,4,1,0.6668328,['c'],1,left,['0'],6,0.1671258,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
26,4,1,0.5164486,['c'],1,left,['0'],6,0.183804,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
27,4,1,0.6339052,['c'],1,left,['0'],6,0.1671989,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
28,4,1,0.7669132,['c'],1,left,['0'],6,0.1341174,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
29,4,1,0.9502257,['n'],1,right,['0'],6,0.2172269,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
30,4,1,2.2837837,['c'],0,right,['2'],2,0.4836352,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
31,4,1,0.7333983,['c'],1,left,['0'],6,0.5005328,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
32,4,1,0.8666141,['c'],1,left,['0'],6,0.2170157,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
33,4,1,0.9157401,['n'],1,right,['0'],6,0.2837427,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
34,4,1,0.5491132,['c'],1,left,['0'],6,0.2506922,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
35,4,1,0.8666255,['n'],1,right,['0'],6,0.2838701,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
36,4,1,0.6665982,['c'],1,left,['0'],6,0.2004675,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
37,4,1,0.633381,['c'],1,left,['0'],6,0.2504441,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
38,4,1,0.5839354,['c'],1,left,['0'],6,0.2003027,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
39,4,1,0.6172692,['c'],1,left,['0'],6,0.2009755,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
40,4,1,0.833388,['n'],1,right,['0'],6,0.233935,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
41,4,1,1.2840646,['n'],1,right,['0'],6,0.216886,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
42,4,1,1.36635,['c'],0,right,['2'],2,0.95058,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
43,4,1,1.2159931,['n'],1,right,['2'],2,0.5839719,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
44,4,1,1.6343896,['n'],1,right,['3'],3,0.9504067,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
45,4,1,0.7833787,['n'],1,right,['0'],6,0.3172458,0.4,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
46,4,1,0.5829002,['c'],1,left,['0'],6,0.2336171,0.1,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
47,4,1,0.7675706,['c'],1,left,['0'],6,0.2169999,0.2,0,FastFast,1,18,Woman,Right,NA,1,TRUE,TRUE,TRUE,TRUE
