"subject_id","model","cost","bic","aic","n_obs","n_bins","n_free_params","folder"
"1","FCB_cj6",196.423985825986,255.624738045475,214.423985825986,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"10","FCB_cj6",250.219109115075,309.407335236509,268.219109115075,718,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"11","FCB_cj6",164.565308251506,223.75353437294,182.565308251506,718,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"12","FCB_cj6",205.516275331751,264.628976534458,223.516275331751,712,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"13","FCB_cj6",194.634723512816,253.810406078212,212.634723512816,717,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"14","FCB_cj6",351.885785382456,411.07401150389,369.885785382456,718,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"15","FCB_cj6",115.591486930492,174.792239149981,133.591486930492,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"16","FCB_cj6",189.963045701375,249.176306609466,207.963045701375,720,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"17","FCB_cj6",143.267675108338,202.468427327827,161.267675108338,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"18","FCB_cj6",179.410348712944,238.611100932434,197.410348712944,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"19","FCB_cj6",82.2249156147248,141.438176522816,100.224915614725,720,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"2","FCB_cj6",271.103660490778,330.241607151834,289.103660490778,714,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"20","FCB_cj6",469.434917029056,528.610599594453,487.434917029056,717,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"21","FCB_cj6",408.094316506917,467.282542628351,426.094316506917,718,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"22","FCB_cj6",169.665761492142,228.853987613576,187.665761492142,718,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"23","FCB_cj6",216.516325942275,275.704552063709,234.516325942275,718,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"24","FCB_cj6",88.5693524966509,147.77010471614,106.569352496651,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"25","FCB_cj6",377.407147438126,436.607899657616,395.407147438126,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"26","FCB_cj6",538.669365861692,597.870118081182,556.669365861692,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"27","FCB_cj6",573.55025660205,632.75100882154,591.55025660205,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"28","FCB_cj6",797.701769081318,856.902521300808,815.701769081318,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"29","FCB_cj6",303.08779131879,361.982997928873,321.08779131879,695,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"3","FCB_cj6",245.506771178073,304.707523397563,263.506771178073,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"30","FCB_cj6",286.883185423173,346.083937642662,304.883185423173,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"31","FCB_cj6",129.858004614567,189.058756834057,147.858004614567,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"32","FCB_cj6",207.366906243196,266.580167151287,225.366906243196,720,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"33","FCB_cj6",136.772890797119,195.973643016608,154.772890797119,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"34","FCB_cj6",416.461752214781,475.662504434271,434.461752214781,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"35","FCB_cj6",183.913788933975,243.114541153465,201.913788933975,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"36","FCB_cj6",250.169548495018,309.370300714508,268.169548495018,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"37","FCB_cj6",440.999300913744,500.200053133233,458.999300913744,719,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"38","FCB_cj6",116.578234217911,175.7789864374,134.578234217911,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"39","FCB_cj6",552.950172037924,611.242923303931,570.950172037924,650,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"4","FCB_cj6",190.365623667516,249.528745170162,208.365623667516,716,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"40","FCB_cj6",183.140264230884,242.341016450373,201.140264230884,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"5","FCB_cj6",303.897573410416,363.035520071472,321.897573410416,714,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"6","FCB_cj6",179.440327633704,238.641079853193,197.440327633704,719,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"7","FCB_cj6",161.807213072745,220.995439194179,179.807213072745,718,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"8","FCB_cj6",278.094086366755,337.269768932152,296.094086366755,717,44,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
"9","FCB_cj6",466.831076834396,525.854857059706,484.831076834396,705,52,9,"/Users/luc/Library/CloudStorage/OneDrive-KULeuven/PostDoc/DDM_Pipeline/v-ratio-demo/results/testFit"
